timestamp,temperatura_ambiente,umidade_relativa,chuva,pressao_atmosferica,observacao
2026-06-22T19:44:51,25.0,60.0,0.15,1013.25,
2026-06-22T19:45:13,25.0,60.0,0.15,1013.25,longa
2026-06-22T19:46:25,25.0,95.0,20.0,1013.0,
2026-06-22T19:48:02,25.0,95.0,20.0,1020.0,
2026-06-22T19:48:33,25.0,95.0,20.0,1020.0,observação longa
2026-06-22T19:49:02,25.0,100.0,20.0,1020.0,
2026-06-22T20:13:37,25.0,60.0,0.0,1013.25,
2026-06-22T20:14:13,25.0,60.0,0.0,1013.25,
2026-06-28T19:29:26,25.0,60.0,0.0,1013.25,
2026-06-28T19:40:10,35.0,80.0,90.0,1013.0,
2026-06-28T19:45:30,25.0,40.0,10.0,1010.2,
2026-06-28T19:49:29,25.0,20.0,0.0,1010.2,
2026-06-28T19:54:40,25.0,20.0,0.0,1010.2,aguá com aspecto limpida... inodora e em temperatura ideal.
